# Input data: Maddison_CRU_dataset.csv
Metric,Approach1J: Quadratic (Joint OLS)_point,Approach1J: Quadratic (Joint OLS)_p5,Approach1J: Quadratic (Joint OLS)_p25,Approach1J: Quadratic (Joint OLS)_p50,Approach1J: Quadratic (Joint OLS)_p75,Approach1J: Quadratic (Joint OLS)_p95,Approach0J: No Climate Response (Joint)_point,Approach0J: No Climate Response (Joint)_p5,Approach0J: No Climate Response (Joint)_p25,Approach0J: No Climate Response (Joint)_p50,Approach0J: No Climate Response (Joint)_p75,Approach0J: No Climate Response (Joint)_p95,Approach2J: Piecewise (Joint OLS)_point,Approach2J: Piecewise (Joint OLS)_p5,Approach2J: Piecewise (Joint OLS)_p25,Approach2J: Piecewise (Joint OLS)_p50,Approach2J: Piecewise (Joint OLS)_p75,Approach2J: Piecewise (Joint OLS)_p95,Approach3J: Persistence (Joint OLS)_point,Approach3J: Persistence (Joint OLS)_p5,Approach3J: Persistence (Joint OLS)_p25,Approach3J: Persistence (Joint OLS)_p50,Approach3J: Persistence (Joint OLS)_p75,Approach3J: Persistence (Joint OLS)_p95,Approach1P: Quadratic (Polynomial Detrending)_point,Approach1P: Quadratic (Polynomial Detrending)_p5,Approach1P: Quadratic (Polynomial Detrending)_p25,Approach1P: Quadratic (Polynomial Detrending)_p50,Approach1P: Quadratic (Polynomial Detrending)_p75,Approach1P: Quadratic (Polynomial Detrending)_p95,Approach0P: No Climate Response (Precomputed k)_point,Approach0P: No Climate Response (Precomputed k)_p5,Approach0P: No Climate Response (Precomputed k)_p25,Approach0P: No Climate Response (Precomputed k)_p50,Approach0P: No Climate Response (Precomputed k)_p75,Approach0P: No Climate Response (Precomputed k)_p95,Approach1L: Quadratic (LOESS Detrending)_point,Approach1L: Quadratic (LOESS Detrending)_p5,Approach1L: Quadratic (LOESS Detrending)_p25,Approach1L: Quadratic (LOESS Detrending)_p50,Approach1L: Quadratic (LOESS Detrending)_p75,Approach1L: Quadratic (LOESS Detrending)_p95,Approach0L: No Climate Response (LOESS Precomputed k)_point,Approach0L: No Climate Response (LOESS Precomputed k)_p5,Approach0L: No Climate Response (LOESS Precomputed k)_p25,Approach0L: No Climate Response (LOESS Precomputed k)_p50,Approach0L: No Climate Response (LOESS Precomputed k)_p75,Approach0L: No Climate Response (LOESS Precomputed k)_p95,Approach2L: Piecewise (LOESS Detrending)_point,Approach2L: Piecewise (LOESS Detrending)_p5,Approach2L: Piecewise (LOESS Detrending)_p25,Approach2L: Piecewise (LOESS Detrending)_p50,Approach2L: Piecewise (LOESS Detrending)_p75,Approach2L: Piecewise (LOESS Detrending)_p95,Approach3L: Persistence (LOESS Detrending)_point,Approach3L: Persistence (LOESS Detrending)_p5,Approach3L: Persistence (LOESS Detrending)_p25,Approach3L: Persistence (LOESS Detrending)_p50,Approach3L: Persistence (LOESS Detrending)_p75,Approach3L: Persistence (LOESS Detrending)_p95,Approach2P: Piecewise (Polynomial Detrending)_point,Approach2P: Piecewise (Polynomial Detrending)_p5,Approach2P: Piecewise (Polynomial Detrending)_p25,Approach2P: Piecewise (Polynomial Detrending)_p50,Approach2P: Piecewise (Polynomial Detrending)_p75,Approach2P: Piecewise (Polynomial Detrending)_p95,Approach3P: Persistence (Polynomial Detrending)_point,Approach3P: Persistence (Polynomial Detrending)_p5,Approach3P: Persistence (Polynomial Detrending)_p25,Approach3P: Persistence (Polynomial Detrending)_p50,Approach3P: Persistence (Polynomial Detrending)_p75,Approach3P: Persistence (Polynomial Detrending)_p95
Total R²,0.1863929345279196,0.1657225541296102,0.18225908262077567,0.19286527137457476,0.20504705724881558,0.22356427203008392,0.1856673502562166,0.16419791300233272,0.18122876148390318,0.19171922226298183,0.2041267377947166,0.2227511022705945,0.1866131871306227,0.16607922025128705,0.1827037908432712,0.19301999339970877,0.20529987881944067,0.22379707091184484,0.1867068171237245,0.16599541318423588,0.1826002106884389,0.19312770489655268,0.2054148508531957,0.22404377438995446,0.18623247489284067,0.16543457029896028,0.182089485693827,0.19264844516901564,0.2047820331251425,0.22337956283006985,0.1856673502562165,0.1641979130023324,0.18122876148390318,0.19171922226298177,0.20412673779471668,0.2227511022705945,0.18643533269182488,0.1658748211255663,0.1819709874782961,0.19253900729131396,0.20474318842258046,0.22227046883248686,0.1856673502562165,0.16444876016105003,0.18111750841783897,0.19180407003896344,0.20385238180932255,0.2214579394250744,0.1865137983795735,0.16612288061096964,0.18221048540763973,0.19276409282473694,0.20493769182448562,0.2223794306241725,0.1865178841145564,0.16603508902987857,0.1821810664379159,0.19266663006019963,0.20481429589043118,0.22241113786879171,0.18627925985584504,0.16573840549450977,0.1822615754846203,0.19269030484615896,0.20475999502604852,0.22345839990633282,0.1865689084315495,0.16579580572321137,0.18239687624962117,0.1929064122793736,0.20520239021689288,0.2238487565619874
Var(h(T))/Var(Δy),0.08708434328264038,0.033946016855696114,0.0789452609628965,0.13399455567360907,0.22243591634837134,0.49419792796126705,0.0,0.0,0.0,0.0,0.0,0.0,0.07178243562240928,0.0313244516476998,0.0741745160784751,0.13224992737456195,0.22281535376007794,0.4790900857356782,0.0012122050101385357,0.00066335965249053,0.0012395300722863314,0.001793002253595344,0.002773611778467077,0.013687022572146238,0.04738289938103376,0.02054473909969891,0.0472050509831972,0.07539221056493928,0.12039914364930751,0.23862247517248905,0.0,0.0,0.0,0.0,0.0,0.0,0.06835621453116554,0.03048661204128376,0.06365427493690984,0.10017656305745604,0.15095769823294458,0.3078080523050067,0.0,0.0,0.0,0.0,0.0,0.0,0.07545122822608268,0.029995641832383103,0.06917480402974721,0.10579499855772484,0.15556278511687288,0.2855272248799402,0.0008553389932805856,0.0004293763520370728,0.0007613843604179648,0.0010663067079369065,0.0014199626732632736,0.002003884546240662,0.04705907832725826,0.015378325553560232,0.047479180561539394,0.07987277099212942,0.1237159986447544,0.22445398611938625,0.0009049386918582926,0.0004785624497053971,0.0008729160534046406,0.0012446591581369273,0.001776419344163288,0.007239715371469753
Var(j)/Var(Δy),0.22652245065249696,0.15377608609998017,0.21715972975215664,0.2775145547985051,0.38791922838282095,0.633527912037664,0.15929400584918785,0.09763133206051007,0.11497753854637476,0.1344342358685248,0.1749536455331453,0.30479298672761185,0.2284193942680264,0.15968461196073214,0.21961062246294122,0.2874440912264884,0.3877771702581905,0.6166974021266801,0.15899080184646786,0.09771912816890693,0.11541774170379462,0.13502055813234676,0.17587931530928308,0.3041280600994859,0.1465689177238542,0.11893498526051305,0.14870969602245201,0.17586586225823642,0.21815274985702324,0.32275900217596953,0.10382283322160415,0.08439426631891724,0.0957240290565403,0.10340635994638311,0.11225603200896683,0.12566961279082253,0.14803909675686194,0.11177655164613944,0.14507514895457263,0.18273986573424844,0.22661731734175128,0.35467659138497903,0.08740998496108893,0.07097879137607933,0.08029630967853056,0.0868683218800401,0.09379004691725427,0.1063649697059307,0.15178591586500134,0.11120949074111727,0.15119729627560496,0.18891396228820811,0.2379038870496535,0.34709992751382396,0.08721399003930248,0.07075561704871622,0.07997163298064683,0.08657428982723664,0.09349317791767237,0.106172519955251,0.14799119625463084,0.11627686342010846,0.14895584863408373,0.17949472659943733,0.22511761512025089,0.31130775781317954,0.10360290349716487,0.08437731056652877,0.09577185688969202,0.10348797133506576,0.11251196323946801,0.12584144414891352
Var(k)/Var(Δy),0.11805755622041358,0.08622924410321382,0.10091949215344621,0.12166971497884818,0.16373326704398652,0.30553522148240414,0.11951981289702494,0.08431607115472313,0.09850654669054276,0.11873542357030811,0.15734990076031619,0.2888152868755403,0.1150647657086625,0.08736747369806443,0.10202606950320518,0.12260021932691821,0.1638190100927594,0.3070486785615868,0.12021799053664461,0.08512419238761865,0.09926419269966665,0.11959601641329128,0.15850474483718527,0.30204531660306905,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259,0.08184451703461235,0.0748790762818376,0.08217118378103683,0.08809339669151028,0.09381083468258176,0.10392012027351259
Var(ε)/Var(Δy),0.8136070654720804,0.7764357279699163,0.7949529427511843,0.8071347286254251,0.8177409173792245,0.8342774458703895,0.8143326497437833,0.7772488977294055,0.7958732622052835,0.808280777737018,0.8187712385160966,0.8358020869976672,0.8133868128693773,0.7762029290881554,0.7947001211805593,0.8069800066002912,0.8172962091567286,0.8339207797487125,0.8132931828762755,0.7759562256100454,0.7945851491468041,0.8068722951034473,0.8173997893115612,0.8340045868157642,0.8137672690931077,0.776620315064413,0.7952179041982301,0.8073512617335138,0.8179101103883395,0.834565000967337,0.8143326497437832,0.7772488977294052,0.7958732622052835,0.8082807777370182,0.8187712385160968,0.8358020869976673,0.813564188756039,0.7777294433487275,0.7952566916064159,0.8074606705565188,0.8180281950860706,0.8341248910710748,0.8143326497437836,0.7785420605749255,0.7961476181906774,0.8081959299610366,0.818882491582161,0.8355512398389501,0.8134857808545294,0.7776197584148804,0.7950619909414904,0.8072349827649917,0.8177894986454618,0.8338759302754757,0.8134820626095804,0.7775888599048014,0.795185529822025,0.8073332617374573,0.8178189287395583,0.8339648887553976,0.8137204254073869,0.7765412681930847,0.7952399299845314,0.8073093861164866,0.8177378780895853,0.8342609376764033,0.8134310624741523,0.7761511846376385,0.7947975820022939,0.8070935486896051,0.8176030916006064,0.8342041523212672
"2Cov(h(T),j)/Var(Δy)",-0.15643864921908304,-0.9198254901718832,-0.4258944922044264,-0.2537325058207044,-0.1542408938247679,-0.06421256987999636,0.0,0.0,0.0,0.0,0.0,0.0,-0.14656564974674696,-0.8976249299364631,-0.42611681055389217,-0.2636651184175489,-0.15321161326608962,-0.0613615360547113,0.00028095324461415447,-0.019330736714822435,-5.477554663222945e-05,0.00015335424828353113,0.00035850265732791586,0.0009402542210186689,-0.08929671619069793,-0.4456129907417596,-0.2324121854640753,-0.1465157578717755,-0.0931274355138053,-0.03919345704093297,0.0,0.0,0.0,0.0,0.0,0.0,-0.12831604123224832,-0.5636157531763689,-0.2900982586701979,-0.19203087712162004,-0.12326013903070229,-0.059652006354366974,0.0,0.0,0.0,0.0,0.0,0.0,-0.1390624292342107,-0.5295402945076867,-0.3063739411726393,-0.20489320297400454,-0.1316327736737257,-0.05380803791968457,2.9563665581305678e-05,-0.00016427595703819026,-3.104141414545065e-05,3.415005510592836e-05,9.884677770383762e-05,0.00043092548522838896,-0.0903160900935112,-0.43591118698647424,-0.24158944022668236,-0.15410279172954228,-0.09164506977952458,-0.03078378044225316,0.0002052614224059286,-0.008781923071519423,9.130738172683646e-05,0.00017426252827749966,0.00025142772438949796,0.00040531035375425384
"2Cov(h(T),k)/Var(Δy)",-0.0048707780937290585,-0.01542904428136005,-0.004356757190922057,-0.0010912170913140646,0.0017706405633235388,0.011117874904746554,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045744981146752005,-0.017553040072238544,-0.005156261416466352,-0.0011910417958372404,0.0024335453051845635,0.012393123912003309,-0.0009109966892028824,-0.007823018421375234,-0.001624309160096069,-0.00100644258941209,-0.0005176205212560575,0.0044243814024311715,-0.00024412345786552642,-0.001400545245897466,-0.0007330101517930359,-0.0003407557400152897,0.0001652052997275751,0.0011391412265066632,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028251892229820476,-0.001514040099703013,-0.00082260097375037,-0.0003892788369455505,0.00016951607325155972,0.0011801243708958352,0.0,0.0,0.0,0.0,0.0,0.0,-7.529693550749729e-05,-0.0014959769054872871,-0.0007780040370815381,-0.00031259270700993106,0.0003319583109492616,0.0014867055226532543,-0.0005604624832190765,-0.0014258692368906986,-0.0008931974505541407,-0.0005552982469327351,-0.00021411911710667944,0.00029954603321670476,-0.00015800339757189417,-0.0013544773800328665,-0.000688537408113135,-0.00025213128048557905,0.0002841793454974529,0.0013140290762149822,-0.0004911107861740855,-0.00124400190024891,-0.0007784530993232495,-0.0004637411974649578,-0.00011936810424355487,0.0005784978917521404
"2Cov(h(T),ε)/Var(Δy)",-5.798947473596201e-15,-2.834682667881314e-14,-8.02675187356184e-15,-1.0098934183746062e-15,7.338976197515154e-15,2.857666704957337e-14,0.0,0.0,0.0,0.0,0.0,0.0,-8.04121613838828e-15,-3.807973942623455e-14,-9.131632104290934e-15,4.3998154712643297e-16,9.914201629283624e-15,4.280455889085334e-14,-9.552026410592592e-17,-9.606703432373246e-16,-1.4069081130667993e-16,-3.733631109984741e-18,1.2477914252329063e-16,7.69101481909084e-16,1.2945475185540174e-06,-0.00014209059788969326,-5.294572810998072e-05,8.98976675703584e-06,8.88545029023802e-05,0.0002750432037109325,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014486997553207332,-0.007342386246121566,-0.003339118586393482,-0.0013531522082021654,0.00047656650101131283,0.003233840991307092,0.0,0.0,0.0,0.0,0.0,0.0,-0.001477924850725248,-0.006801887872511029,-0.0030000749868568963,-0.0009797200125571718,0.0009207760801128546,0.0038796730604556484,-2.6392921839608765e-05,-0.00023710934151919592,-5.088008978744802e-05,-2.697990920468951e-05,-1.0598815897720026e-05,9.67015046981487e-06,-7.643794740297316e-06,-0.00015643258238677048,-6.118120242206004e-05,2.9850835336300103e-06,4.480727491403726e-05,0.00013259059410466887,4.004051582655794e-06,-1.6376527471800424e-06,1.3642475774777593e-06,5.256626918340187e-06,1.2046650193288977e-05,5.322790366280125e-05
"2Cov(j,k)/Var(Δy)",-0.08396198831478568,-0.40682814701041387,-0.14139637483429124,-0.06418042601200251,-0.02634649455272855,-0.0020738747408781447,-0.09314646848999181,-0.38656545653516766,-0.13848175913133562,-0.056099895385625084,-0.022575908330759637,-0.0017175673187409329,-0.0775132606070382,-0.4139389816375758,-0.14301383761523526,-0.06695109846700159,-0.028032382340265026,-0.0029383072155132776,-0.09308413682492565,-0.3865896255224069,-0.13958662408817593,-0.056841669988443894,-0.023867773681934445,-0.0018970758440706784,-0.0004109531832610931,-0.0017961384274198468,-0.0008381808227021514,-0.0003078725504372084,2.151018044851084e-05,0.0008261288720930577,-4.3181611216613235e-19,-4.5666623955304034e-18,-2.0105542737833e-18,-6.772777389971585e-19,4.0055284433407207e-19,1.8478238664414863e-18,-0.0004957586549884184,-0.0018361551208751156,-0.0008785341609299063,-0.00037152250817537667,-2.7521674139996755e-05,0.000636321946382736,-2.870307098516056e-18,-7.386753980415843e-18,-5.209932478243723e-18,-3.871119181475623e-18,-2.675478487372755e-18,-1.023089889185997e-18,-0.0007700632742517352,-0.0022069159865519042,-0.0011257900348464898,-0.0005475947821871477,-0.00019137539279748353,0.00031980867622017896,9.944664809421426e-06,-0.0003667040323812639,-8.605339285860586e-06,5.281855832762061e-06,1.9235394272304852e-05,4.8623661884968056e-05,-0.0005454809986498738,-0.0021235459607254676,-0.0010573219478718686,-0.000492931929429353,-0.00011129487496128059,0.000513009959220055,-5.545448915977733e-06,-0.0011685836710652246,-1.6419080434725205e-05,-5.881540177521534e-06,-1.5455796529343802e-06,5.292536154507949e-06
"2Cov(j,ε)/Var(Δy)",2.4800875784254093e-14,-1.0757071281630218e-13,-2.414018069242011e-14,6.331552640427564e-16,2.4072735635594677e-14,9.970833560995237e-14,-8.743920658095337e-15,-1.689284939189003e-14,-7.364623016359e-15,-1.9142784648644795e-15,3.2935323857602285e-15,1.224738975471804e-14,-1.321080432897623e-14,-5.695805081652745e-14,-1.552057196618321e-14,-7.98147493830122e-17,1.54053393586345e-14,5.3171919915197456e-14,-4.441406520263092e-15,-1.4465481321321566e-14,-4.856113436359852e-15,-2.0021640816917274e-16,5.1094872497232935e-15,1.3474818625919811e-14,-0.0002681815894287639,-0.0007959420686954484,-0.00042046559662490515,-0.0002564394813456427,-0.00012725641611822217,3.489502712500597e-05,1.2008298060384651e-17,-1.9074920178883e-17,-6.0642493149299916e-18,2.790642398630077e-18,1.208113309663239e-17,2.4307033482323285e-17,0.01796072390889012,0.01057378733619865,0.015239348142549344,0.0181356004567269,0.021068745425266582,0.025971484676177135,0.016412848260515124,0.010871544854102353,0.014040909281570053,0.016266457697279114,0.018907960304546362,0.02299419481059171,0.01797291210470997,0.010133409086289133,0.014660483916717185,0.017617659667834053,0.02059256946160877,0.025673569839661174,0.016600920579482432,0.01109878913956736,0.014399870266072898,0.016480203460251846,0.019108863179343703,0.023194165061655232,-0.00029148313563661065,-0.0007935558667869358,-0.00044686289829988594,-0.0002613449170723127,-0.00010089713273431501,6.933833600312665e-05,7.312828223482389e-06,-0.0005412753063182807,-3.657308643797747e-05,-3.936605002973691e-06,2.2453714697890455e-05,6.957577911317806e-05
