approach,coefficient,percentile,rank,country_iso,country_name,influence_coef,direction
Approach1J,h1,5,1,LBN,Lebanon,0.05174753033262433,increases
Approach1J,h1,5,2,ZWE,Zimbabwe,0.030946981566471965,increases
Approach1J,h1,5,3,POL,Poland,0.027578220002707172,increases
Approach1J,h1,5,4,KWT,Kuwait,0.025815363721609013,increases
Approach1J,h1,5,5,CAN,Canada,0.0247199624821181,increases
Approach1J,h1,5,6,TZA,"Tanzania, United Republic of",0.024532941978619865,increases
Approach1J,h1,5,7,ALB,Albania,0.024306664956407664,increases
Approach1J,h1,5,8,AFG,Afghanistan,0.023252491805519374,increases
Approach1J,h1,5,9,CHL,Chile,0.0225045822160109,increases
Approach1J,h1,5,10,BEL,Belgium,0.022500537056743763,increases
Approach1J,h1,5,11,TGO,Togo,0.022217992953296052,increases
Approach1J,h1,5,12,BOL,"Bolivia, Plurinational State of",0.020596455060564553,increases
Approach1J,h1,5,13,HTI,Haiti,0.020238315985048643,increases
Approach1J,h1,5,14,MKD,North Macedonia,0.01976102659698538,increases
Approach1J,h1,5,15,NER,Niger,0.019624661355446285,increases
Approach1J,h1,5,16,ISL,Iceland,0.018459038985150555,increases
Approach1J,h1,5,17,BDI,Burundi,0.01824473441042846,increases
Approach1J,h1,5,18,ZAF,South Africa,0.018138186024332575,increases
Approach1J,h1,5,19,TUN,Tunisia,0.018105708122607114,increases
Approach1J,h1,5,20,GMB,Gambia,0.017826328889725972,increases
Approach1J,h1,5,21,MLI,Mali,0.017699856559227897,increases
Approach1J,h1,5,22,SVN,Slovenia,0.017638110298095068,increases
Approach1J,h1,5,23,ESP,Spain,0.01741253564652373,increases
Approach1J,h1,5,24,FRA,France,0.01703789982778401,increases
Approach1J,h1,5,25,GNB,Guinea-Bissau,0.016678694952649953,increases
Approach1J,h1,5,26,HKG,Hong Kong,0.016455947746393154,increases
Approach1J,h1,5,27,ITA,Italy,0.015794523892009783,increases
Approach1J,h1,5,28,AGO,Angola,0.015070184758010597,increases
Approach1J,h1,5,29,CAF,Central African Republic,0.014943080149323478,increases
Approach1J,h1,5,30,PAK,Pakistan,0.014715242300104504,increases
Approach1J,h1,5,31,RUS,Russian Federation,0.014690906319925166,increases
Approach1J,h1,5,32,YEM,Yemen,0.014556524456282083,increases
Approach1J,h1,5,33,NOR,Norway,0.01432206075616789,increases
Approach1J,h1,5,34,OMN,Oman,0.013867326229610162,increases
Approach1J,h1,5,35,ROU,Romania,0.013765909321672749,increases
Approach1J,h1,5,36,CHN,China,0.013708217657923669,increases
Approach1J,h1,5,37,SEN,Senegal,0.013528333050615576,increases
Approach1J,h1,5,38,SGP,Singapore,0.013520709721682154,increases
Approach1J,h1,5,39,KEN,Kenya,0.01327948609916404,increases
Approach1J,h1,5,40,MWI,Malawi,0.013042881584800617,increases
Approach1J,h1,5,41,CMR,Cameroon,0.012889816997850074,increases
Approach1J,h1,5,42,BGD,Bangladesh,0.012627001670192064,increases
Approach1J,h1,5,43,CHE,Switzerland,0.012474851240035955,increases
Approach1J,h1,5,44,BFA,Burkina Faso,0.012400918199287236,increases
Approach1J,h1,5,45,URY,Uruguay,0.012057947891045003,increases
Approach1J,h1,5,46,EGY,Egypt,0.011468300967558234,increases
Approach1J,h1,5,47,AUT,Austria,0.011387884213240216,increases
Approach1J,h1,5,48,GRC,Greece,0.01122564963397527,increases
Approach1J,h1,5,49,USA,United States,0.011161775664839207,increases
Approach1J,h1,5,50,KHM,Cambodia,0.010881393133461443,increases
Approach1J,h1,5,51,DZA,Algeria,0.010441254022314205,increases
Approach1J,h1,5,52,BHR,Bahrain,0.009803316195276773,increases
Approach1J,h1,5,53,BRA,Brazil,0.009802914221353359,increases
Approach1J,h1,5,54,NZL,New Zealand,0.009626852999514875,increases
Approach1J,h1,5,55,ECU,Ecuador,0.009613115315736921,increases
Approach1J,h1,5,56,RWA,Rwanda,0.009337047443432545,increases
Approach1J,h1,5,57,NLD,Netherlands,0.009305989178191882,increases
Approach1J,h1,5,58,SLE,Sierra Leone,0.009225059691227094,increases
Approach1J,h1,5,59,DJI,Djibouti,0.009102889729056549,increases
Approach1J,h1,5,60,MOZ,Mozambique,0.009010672780283367,increases
Approach1J,h1,5,61,ISR,Israel,0.008953140299543605,increases
Approach1J,h1,5,62,BWA,Botswana,0.008660525000389314,increases
Approach1J,h1,5,63,LUX,Luxembourg,0.00858290959274621,increases
Approach1J,h1,5,64,VEN,"Venezuela, Bolivarian Republic of",0.008375592009418648,increases
Approach1J,h1,5,65,GTM,Guatemala,0.008116734125496797,increases
Approach1J,h1,5,66,SDN,Sudan,0.008016044826529616,increases
Approach1J,h1,5,67,MAR,Morocco,0.0077679174073361675,increases
Approach1J,h1,5,68,NAM,Namibia,0.007666930022978257,increases
Approach1J,h1,5,69,PHL,Philippines,0.007598521138722919,increases
Approach1J,h1,5,70,MDG,Madagascar,0.007526240646842557,increases
Approach1J,h1,5,71,HND,Honduras,0.0072928239746591576,increases
Approach1J,h1,5,72,JPN,Japan,0.007162888635153854,increases
Approach1J,h1,5,73,ARG,Argentina,0.007129720324950834,increases
Approach1J,h1,5,74,SYC,Seychelles,0.006997688986508247,increases
